,Unnamed: 0,unique_number,name_en,date_inscribed,longitude,latitude,category,category_short,states_name_en,region_en,gdp,count,countbycategory,countbystate,countbyregion,countbyregiondate,countbystatedate,countbycatdate
0,0,5,City of Quito,1978,-78.5,-0.003888889,Cultural,C,Ecuador,Latin America and the Caribbean,5373.0,65000.0,869,4,142,2,2,8
1,1,4,Galápagos Islands,1978,-91.0,-0.81667,Natural,N,Ecuador,Latin America and the Caribbean,5373.0,65000.0,213,4,142,2,2,4
2,1,12,Simien National Park,1978,38.06666667,13.18333333,Natural,N,Ethiopia,Africa,1017.0,730000.0,213,9,96,3,2,4
3,0,21,"Rock-Hewn Churches, Lalibela",1978,39.04042000000001,12.02935,Cultural,C,Ethiopia,Africa,1017.0,730000.0,869,9,96,3,2,8
4,1,31,Yellowstone National Park,1978,-110.82778,44.46056,Natural,N,United States of America,Europe and North America,65307.0,24671000.0,213,22,528,7,2,4
5,0,30,Mesa Verde National Park,1978,-108.48555559999998,37.26166667,Cultural,C,United States of America,Europe and North America,65307.0,24671000.0,869,22,528,7,2,8
6,1,27,Nahanni National Park,1978,-125.58944440000002,61.54722222,Natural,N,Canada,Europe and North America,24015.0,2125000.0,213,18,528,7,2,4
7,0,2248,L’Anse aux Meadows National Historic Site,1978,-55.61666667,51.46666667,Cultural,C,Canada,Europe and North America,24015.0,2125000.0,869,18,528,7,2,8
8,0,1953,Aachen Cathedral ,1978,6.084444444,50.77444444,Cultural,C,Germany,Europe and North America,21156.0,117000.0,869,39,528,7,1,8
9,0,1854,Wieliczka and Bochnia Royal Salt Mines,1978,20.06388889,49.97916667,Cultural,C,Poland,Europe and North America,7009.0,4833000.0,869,13,528,7,2,8
10,0,29,Island of Gorée,1978,-17.40083,14.66722,Cultural,C,Senegal,Africa,1648.0,17994000.0,869,6,96,3,1,8
11,0,1739,Historic Centre of Kraków,1978,19.93722222,50.06138889,Cultural,C,Poland,Europe and North America,7009.0,4833000.0,869,13,528,7,2,8
12,4,2005,Białowieża Forest,1979,23.98111111,52.7275,Natural,N,"Belarus,Poland",Europe and North America,10303.0,91000.0,213,1,528,32,1,12
13,2,96,Abu Mena,1979,29.66666667,30.83583333,Cultural,C,Egypt,Arab States,3343.0,518000.0,869,7,86,9,5,42
14,2,38,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",1979,-0.4936100000000001,5.3910300000000015,Cultural,C,Ghana,Africa,2025.0,34970000.0,869,2,96,7,1,42
15,2,34,Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,1979,19.175,50.03888889,Cultural,C,Poland,Europe and North America,6579.0,4833000.0,869,13,528,32,3,42
16,2,22,"Fasil Ghebbi, Gondar Region",1979,37.46617,12.60692,Cultural,C,Ethiopia,Africa,1069.0,730000.0,869,9,96,7,3,42
17,2,84,Independence Hall,1979,-75.15,39.94861111,Cultural,C,United States of America,Europe and North America,65307.0,24671000.0,869,22,528,32,5,42
